user_id,item_id,rating,product_title,description
u1,i11,2,Product i11,This is a description for product i11. It's great for use case 8.
u1,i29,3,Product i29,This is a description for product i29. It's great for use case 7.
u1,i41,1,Product i41,This is a description for product i41. It's great for use case 4.
u1,i47,2,Product i47,This is a description for product i47. It's great for use case 2.
u1,i64,1,Product i64,This is a description for product i64. It's great for use case 8.
u1,i67,3,Product i67,This is a description for product i67. It's great for use case 1.
u1,i89,2,Product i89,This is a description for product i89. It's great for use case 3.
u1,i90,1,Product i90,This is a description for product i90. It's great for use case 4.
u2,i14,5,Product i14,This is a description for product i14. It's great for use case 9.
u2,i36,1,Product i36,This is a description for product i36. It's great for use case 1.
u2,i54,4,Product i54,This is a description for product i54. It's great for use case 4.
u2,i55,3,Product i55,This is a description for product i55. It's great for use case 3.
u2,i97,5,Product i97,This is a description for product i97. It's great for use case 4.
u3,i19,4,Product i19,This is a description for product i19. It's great for use case 5.
u3,i52,4,Product i52,This is a description for product i52. It's great for use case 4.
u3,i61,1,Product i61,This is a description for product i61. It's great for use case 6.
u3,i63,4,Product i63,This is a description for product i63. It's great for use case 6.
u3,i79,3,Product i79,This is a description for product i79. It's great for use case 7.
u3,i97,2,Product i97,This is a description for product i97. It's great for use case 3.
u3,i99,4,Product i99,This is a description for product i99. It's great for use case 5.
u4,i4,2,Product i4,This is a description for product i4. It's great for use case 5.
u4,i11,2,Product i11,This is a description for product i11. It's great for use case 3.
u4,i18,3,Product i18,This is a description for product i18. It's great for use case 4.
u4,i31,3,Product i31,This is a description for product i31. It's great for use case 2.
u4,i36,2,Product i36,This is a description for product i36. It's great for use case 3.
u4,i65,1,Product i65,This is a description for product i65. It's great for use case 3.
u5,i13,4,Product i13,This is a description for product i13. It's great for use case 4.
u5,i25,5,Product i25,This is a description for product i25. It's great for use case 5.
u5,i26,5,Product i26,This is a description for product i26. It's great for use case 5.
u5,i51,1,Product i51,This is a description for product i51. It's great for use case 1.
u5,i75,1,Product i75,This is a description for product i75. It's great for use case 5.
u6,i5,5,Product i5,This is a description for product i5. It's great for use case 5.
u6,i27,5,Product i27,This is a description for product i27. It's great for use case 2.
u6,i44,5,Product i44,This is a description for product i44. It's great for use case 2.
u6,i54,1,Product i54,This is a description for product i54. It's great for use case 9.
u6,i59,4,Product i59,This is a description for product i59. It's great for use case 1.
u6,i75,2,Product i75,This is a description for product i75. It's great for use case 6.
u6,i80,1,Product i80,This is a description for product i80. It's great for use case 1.
u8,i3,2,Product i3,This is a description for product i3. It's great for use case 5.
u8,i31,4,Product i31,This is a description for product i31. It's great for use case 4.
u8,i34,2,Product i34,This is a description for product i34. It's great for use case 1.
u8,i54,1,Product i54,This is a description for product i54. It's great for use case 3.
u8,i72,5,Product i72,This is a description for product i72. It's great for use case 1.
u8,i87,3,Product i87,This is a description for product i87. It's great for use case 2.
u9,i39,4,Product i39,This is a description for product i39. It's great for use case 5.
u10,i18,3,Product i18,This is a description for product i18. It's great for use case 6.
u10,i39,2,Product i39,This is a description for product i39. It's great for use case 7.
